화약,뇌관,암석분류,심발,SR SD,CR SD,최대입자속도
에멀젼C,전자,화성암,선대구경,277.77,235.88,0.011000000000000001
에멀젼C,전자,화성암,선대구경,277.77,235.88,0.01
에멀젼C,전자,화성암,선대구경,277.77,235.88,0.013000000000000001
에멀젼C,전자,화성암,선대구경,277.77,235.88,0.011000000000000001
에멀젼C,전자,화성암,선대구경,277.77,235.88,0.01
에멀젼C,전자,화성암,선대구경,100.0,73.68,0.025
에멀젼C,전자,화성암,선대구경,97.5,71.84,0.068
에멀젼C,전자,화성암,선대구경,102.5,75.52,0.032
에멀젼C,전자,화성암,선대구경,125.0,92.1,0.019
에멀젼C,전자,화성암,선대구경,122.5,90.26,0.033
에멀젼C,전자,화성암,선대구경,127.5,93.94,0.025
에멀젼C,전자,화성암,선대구경,150.0,110.52,0.024
에멀젼C,전자,화성암,선대구경,147.5,108.68,0.033
에멀젼C,전자,화성암,선대구경,152.5,112.36,0.006
에멀젼C,전자,화성암,선대구경,175.0,128.94,0.024
에멀젼C,전자,화성암,선대구경,172.5,127.1,0.028999999999999998
에멀젼C,전자,화성암,선대구경,177.5,130.78,0.006
에멀젼C,전자,화성암,선대구경,200.0,147.36,0.019
에멀젼C,전자,화성암,선대구경,197.5,145.52,0.027000000000000003
에멀젼C,전자,화성암,선대구경,202.5,149.2,0.006
에멀젼C,전자,화성암,선대구경,57.5,42.37,0.071
에멀젼C,전자,화성암,선대구경,55.0,40.52,0.114
에멀젼C,전자,화성암,선대구경,60.0,44.21,0.044000000000000004
에멀젼C,전자,화성암,선대구경,400.0,294.72,0.015
에멀젼C,전자,화성암,선대구경,397.5,292.88,0.015
에멀젼C,전자,화성암,선대구경,402.5,296.56,0.012
에멀젼C,전자,화성암,선대구경,430.0,316.83,0.012
에멀젼C,전자,화성암,선대구경,427.5,314.98,0.022000000000000002
에멀젼C,전자,화성암,선대구경,432.5,318.67,0.015
에멀젼C,전자,화성암,선대구경,44.72,34.2,0.153
에멀젼C,전자,화성암,선대구경,73.16,62.13,0.142
에멀젼C,전자,화성암,선대구경,67.61,57.41,0.21
에멀젼C,전자,화성암,선대구경,75.93,64.48,0.14400000000000002
에멀젼C,전자,화성암,선대구경,98.47,83.62,0.076
에멀젼C,전자,화성암,선대구경,94.55,80.29,0.13699999999999998
에멀젼C,전자,화성암,선대구경,100.43,85.28,0.08800000000000001
에멀젼C,전자,화성암,선대구경,135.87,115.38,0.017
에멀젼C,전자,화성암,선대구경,133.09,113.02,0.03
에멀젼C,전자,화성암,선대구경,137.33,116.62,0.019
에멀젼C,전자,화성암,선대구경,197.76,167.93,0.021
에멀젼C,전자,화성암,선대구경,195.96,166.41,0.034
에멀젼C,전자,화성암,선대구경,198.9,168.9,0.021
에멀젼C,전자,화성암,선대구경,272.06,231.03,0.018000000000000002
에멀젼C,전자,화성암,선대구경,270.91,230.06,0.023
에멀젼C,전자,화성암,선대구경,272.87,231.72,0.012
에멀젼C,전자,화성암,선대구경,143.7,122.03,0.026000000000000002
에멀젼C,전자,화성암,선대구경,140.44,119.26,0.048
에멀젼C,전자,화성암,선대구경,145.17,123.28,0.034
에멀젼C,전자,화성암,선대구경,198.41,168.49,0.027999999999999997
에멀젼C,전자,화성암,선대구경,195.96,166.41,0.044000000000000004
에멀젼C,전자,화성암,선대구경,199.55,169.46,0.013000000000000001
에멀젼C,전자,화성암,선대구경,22.37,19.0,1.63
에멀젼C,전자,화성암,선대구경,17.96,16.0,1.02
에멀젼C,전자,화성암,선대구경,20.79,18.52,0.991
에멀젼C,전자,화성암,선대구경,32.66,27.73,1.45
에멀젼C,전자,화성암,선대구경,26.87,23.94,1.17
에멀젼C,전자,화성암,선대구경,29.7,26.46,1.27
에멀젼C,전자,화성암,선대구경,48.99,41.6,0.622
에멀젼C,전자,화성암,선대구경,41.01,36.54,0.508
에멀젼C,전자,화성암,선대구경,43.84,39.06,0.444
에멀젼C,전자,화성암,선대구경,65.32,55.47,0.278
에멀젼C,전자,화성암,선대구경,55.15,49.14,0.29100000000000004
에멀젼C,전자,화성암,선대구경,57.98,51.66,0.237
에멀젼C,전자,화성암,선대구경,81.65,69.34,0.113
에멀젼C,전자,화성암,선대구경,69.3,61.74,0.09699999999999999
에멀젼C,전자,화성암,선대구경,72.12,64.26,0.079
에멀젼C,전자,화성암,선대구경,97.98,83.2,0.073
에멀젼C,전자,화성암,선대구경,83.44,74.34,0.065
에멀젼C,전자,화성암,선대구경,86.27,76.86,0.052000000000000005
에멀젼C,전자,화성암,선대구경,114.31,97.07,0.076
에멀젼C,전자,화성암,선대구경,97.58,86.93,0.079
에멀젼C,전자,화성암,선대구경,100.41,89.45,0.064
에멀젼C,전자,화성암,선대구경,130.64,110.94,0.049
에멀젼C,전자,화성암,선대구경,111.72,99.53,0.07200000000000001
에멀젼C,전자,화성암,선대구경,114.55,102.05,0.046
