화약,뇌관,심발,SR SD,CR SD,최대입자속도
에멀젼C,비전기,V-CUT,147.93,131.79,0.022000000000000002
에멀젼C,비전기,V-CUT,146.8,130.78,0.032
에멀젼C,비전기,V-CUT,185.26,165.05,0.011000000000000001
에멀젼C,비전기,V-CUT,251.0,199.22,0.016
에멀젼C,비전기,V-CUT,266.0,211.12,0.01
에멀젼C,비전기,V-CUT,178.47,159.0,0.011000000000000001
에멀젼C,비전기,V-CUT,177.34,157.99,0.015
에멀젼C,비전기,V-CUT,24.66,20.94,2.6439999999999997
에멀젼C,비전기,V-CUT,19.52,17.39,1.5630000000000002
에멀젼C,비전기,V-CUT,19.52,17.39,2.349
에멀젼C,비전기,V-CUT,18.38,16.38,2.238
에멀젼C,비전기,V-CUT,16.69,14.87,3.137
에멀젼C,비전기,V-CUT,179.4,142.39,0.054000000000000006
에멀젼C,비전기,V-CUT,122.75,109.36,0.069
에멀젼C,비전기,V-CUT,130.81,116.54,0.055999999999999994
에멀젼C,비전기,V-CUT,119.78,106.72,0.07200000000000001
에멀젼C,비전기,V-CUT,152.36,129.38,0.06
에멀젼C,비전기,V-CUT,210.4,166.99,0.03
에멀젼C,비전기,V-CUT,217.4,172.55,0.038
에멀젼C,비전기,V-CUT,145.95,130.02,0.049
에멀젼C,비전기,V-CUT,179.14,152.12,0.03
에멀젼C,비전기,V-CUT,165.1,140.2,0.033
에멀젼C,비전기,V-CUT,365.4,290.02,0.016
에멀젼C,비전기,V-CUT,375.6,298.11,0.013999999999999999
에멀젼C,비전기,V-CUT,256.54,228.55,0.015
에멀젼C,비전기,V-CUT,258.94,230.69,0.017
에멀젼C,비전기,V-CUT,258.24,230.06,0.013999999999999999
에멀젼C,비전기,V-CUT,82.6,65.56,0.13
에멀젼C,비전기,V-CUT,55.15,49.14,0.156
에멀젼C,비전기,V-CUT,64.35,57.33,0.124
에멀젼C,비전기,V-CUT,54.31,48.38,0.174
에멀젼C,비전기,V-CUT,60.81,54.18,0.11
에멀젼C,비전기,V-CUT,138.6,110.01,0.094
에멀젼C,비전기,V-CUT,93.2,83.03,0.09300000000000001
에멀젼C,비전기,V-CUT,96.31,85.8,0.099
에멀젼C,비전기,V-CUT,102.39,91.22,0.079
에멀젼C,비전기,V-CUT,123.29,104.7,0.086
에멀젼C,비전기,V-CUT,161.01,136.73,0.040999999999999995
에멀젼C,비전기,V-CUT,136.61,121.71,0.045
에멀젼C,비전기,V-CUT,140.57,125.24,0.047
에멀젼C,비전기,V-CUT,142.84,127.25,0.035
에멀젼C,비전기,V-CUT,144.67,128.89,0.036000000000000004
에멀젼C,비전기,V-CUT,214.34,238.02,0.012
에멀젼C,비전기,V-CUT,278.13,283.64,0.01
에멀젼C,비전기,V-CUT,276.9,282.39,0.015
에멀젼C,비전기,V-CUT,241.93,258.84,0.011000000000000001
에멀젼C,비전기,V-CUT,278.6,284.12,0.013000000000000001
에멀젼C,비전기,V-CUT,245.45,272.56,0.017
에멀젼C,비전기,V-CUT,316.12,322.39,0.018000000000000002
에멀젼C,비전기,V-CUT,316.97,323.26,0.011000000000000001
에멀젼C,비전기,V-CUT,273.93,293.09,0.018000000000000002
에멀젼C,비전기,V-CUT,274.83,294.05,0.016
에멀젼C,비전기,V-CUT,142.77,158.54,0.012
에멀젼C,비전기,V-CUT,186.3,189.99,0.01
에멀젼C,비전기,V-CUT,185.17,188.84,0.013999999999999999
에멀젼C,비전기,V-CUT,193.3,193.3,0.012
에멀젼C,비전기,V-CUT,157.99,171.31,0.013999999999999999
에멀젼C,비전기,V-CUT,113.56,126.1,0.036000000000000004
에멀젼C,비전기,V-CUT,144.91,147.78,0.039
에멀젼C,비전기,V-CUT,126.07,134.88,0.037000000000000005
에멀젼C,비전기,V-CUT,179.09,170.71,0.032
에멀젼C,비전기,V-CUT,152.3,152.3,0.044000000000000004
에멀젼C,비전기,V-CUT,365.53,372.77,0.013999999999999999
에멀젼C,비전기,V-CUT,362.79,369.99,0.012
에멀젼C,비전기,V-CUT,311.98,333.8,0.015
에멀젼C,비전기,V-CUT,366.19,373.45,0.011000000000000001
에멀젼C,비전기,V-CUT,386.9,386.9,0.012
에멀젼C,비전기,V-CUT,188.56,226.45,0.013000000000000001
에멀젼C,비전기,V-CUT,308.39,314.51,0.011000000000000001
에멀젼C,비전기,V-CUT,267.65,286.36,0.012
에멀젼C,비전기,V-CUT,326.4,326.4,0.01
에멀젼C,비전기,V-CUT,329.2,329.2,0.013999999999999999
에멀젼C,비전기,V-CUT,23.59,26.19,0.272
에멀젼C,비전기,V-CUT,28.38,28.94,0.267
에멀젼C,비전기,V-CUT,31.77,32.4,0.35200000000000004
에멀젼C,비전기,V-CUT,25.39,27.17,0.28800000000000003
에멀젼C,비전기,V-CUT,32.15,32.79,0.36700000000000005
에멀젼C,비전기,V-CUT,45.28,50.28,0.174
에멀젼C,비전기,V-CUT,55.91,57.02,0.239
에멀젼C,비전기,V-CUT,58.64,59.81,0.193
에멀젼C,비전기,V-CUT,56.47,57.59,0.184
에멀젼C,비전기,V-CUT,48.91,52.33,0.293
에멀젼C,비전기,V-CUT,109.0,103.9,0.015
에멀젼C,비전기,V-CUT,108.54,103.46,0.019
에멀젼C,비전기,V-CUT,108.2,103.13,0.021
에멀젼C,비전기,V-CUT,94.8,94.8,0.013000000000000001
에멀젼C,비전기,V-CUT,94.8,94.8,0.013000000000000001
에멀젼C,비전기,V-CUT,128.98,122.94,0.022000000000000002
에멀젼C,비전기,V-CUT,129.67,123.6,0.015
에멀젼C,비전기,V-CUT,112.6,112.6,0.011000000000000001
에멀젼C,비전기,V-CUT,104.75,106.82,0.011000000000000001
에멀젼C,비전기,V-CUT,104.75,106.82,0.013000000000000001
에멀젼C,비전기,V-CUT,254.15,242.25,0.005
에멀젼C,비전기,V-CUT,254.61,242.69,0.005
에멀젼C,비전기,V-CUT,253.8,241.92,0.006
에멀젼C,비전기,V-CUT,206.76,210.86,0.005
에멀젼C,비전기,V-CUT,206.0,210.09,0.006
에멀젼C,비전기,V-CUT,275.3,275.3,0.003
에멀젼C,비전기,V-CUT,275.0,275.0,0.005
에멀젼C,비전기,V-CUT,269.8,269.8,0.01
에멀젼C,비전기,V-CUT,275.9,275.9,0.004
에멀젼C,비전기,V-CUT,318.81,303.89,0.003
에멀젼C,비전기,V-CUT,175.05,166.86,0.013000000000000001
에멀젼C,비전기,V-CUT,178.52,170.16,0.01
에멀젼C,비전기,V-CUT,175.86,167.63,0.011000000000000001
에멀젼C,비전기,V-CUT,174.48,166.31,0.013999999999999999
에멀젼C,비전기,V-CUT,155.0,155.0,0.006999999999999999
에멀젼C,비전기,V-CUT,45.96,43.81,0.08
에멀젼C,비전기,V-CUT,44.69,42.59,0.10300000000000001
에멀젼C,비전기,V-CUT,39.2,39.2,0.084
에멀젼C,비전기,V-CUT,38.84,39.61,0.09
에멀젼C,비전기,V-CUT,38.09,38.84,0.095
에멀젼C,비전기,V-CUT,65.71,67.02,0.023
에멀젼C,비전기,V-CUT,66.47,67.79,0.03
에멀젼C,비전기,V-CUT,67.98,69.32,0.021
에멀젼C,비전기,V-CUT,259.18,264.32,0.011000000000000001
에멀젼C,비전기,V-CUT,220.94,236.39,0.013000000000000001
에멀젼C,비전기,V-CUT,223.97,239.62,0.009000000000000001
에멀젼C,비전기,V-CUT,277.7,277.7,0.01
에멀젼C,비전기,V-CUT,214.94,233.06,0.009000000000000001
에멀젼C,비전기,V-CUT,299.8,299.8,0.01
에멀젼C,비전기,V-CUT,232.83,252.45,0.011000000000000001
에멀젼C,비전기,V-CUT,231.57,251.09,0.01
에멀젼C,비전기,V-CUT,229.14,248.45,0.009000000000000001
에멀젼C,비전기,V-CUT,228.59,247.86,0.008
에멀젼C,비전기,V-CUT,250.88,255.86,0.013000000000000001
에멀젼C,비전기,V-CUT,252.2,257.2,0.01
에멀젼C,비전기,V-CUT,217.84,233.07,0.012
에멀젼C,비전기,V-CUT,252.58,257.59,0.015
에멀젼C,비전기,V-CUT,268.2,268.2,0.01
에멀젼C,비전기,V-CUT,213.45,217.68,0.019
에멀젼C,비전기,V-CUT,185.43,198.39,0.013000000000000001
에멀젼C,비전기,V-CUT,227.8,227.8,0.016
에멀젼C,비전기,V-CUT,175.72,190.53,0.017
에멀젼C,비전기,V-CUT,176.11,190.96,0.016
에멀젼C,비전기,V-CUT,56.47,57.59,0.102
에멀젼C,비전기,V-CUT,49.4,52.85,0.11599999999999999
에멀젼C,비전기,V-CUT,49.81,53.29,0.149
에멀젼C,비전기,V-CUT,61.9,61.9,0.11699999999999999
에멀젼C,비전기,V-CUT,64.3,64.3,0.156
에멀젼C,비전기,V-CUT,58.57,65.04,0.079
에멀젼C,비전기,V-CUT,68.18,72.94,0.094
에멀젼C,비전기,V-CUT,77.59,79.13,0.128
에멀젼C,비전기,V-CUT,92.84,88.49,0.125
에멀젼C,비전기,V-CUT,84.9,84.9,0.08900000000000001
에멀젼C,비전기,V-CUT,136.84,146.41,0.021
에멀젼C,비전기,V-CUT,132.93,142.22,0.042
에멀젼C,비전기,V-CUT,116.11,130.33,0.047
에멀젼C,비전기,V-CUT,163.67,166.92,0.039
에멀젼C,비전기,V-CUT,120.65,133.97,0.032
에멀젼C,비전기,V-CUT,240.6,249.72,0.01
에멀젼C,비전기,V-CUT,214.74,231.63,0.011000000000000001
에멀젼C,비전기,V-CUT,214.18,231.03,0.011000000000000001
에멀젼C,비전기,V-CUT,262.29,267.49,0.008
에멀젼C,비전기,V-CUT,196.89,218.63,0.011000000000000001
에멀젼C,비전기,V-CUT,193.26,206.78,0.006999999999999999
에멀젼C,비전기,V-CUT,200.89,208.5,0.011000000000000001
에멀젼C,비전기,V-CUT,301.68,278.95,0.01
에멀젼C,비전기,V-CUT,169.5,188.22,0.009000000000000001
에멀젼C,비전기,V-CUT,169.94,188.71,0.009000000000000001
에멀젼C,비전기,V-CUT,156.85,167.81,0.021
에멀젼C,비전기,V-CUT,157.42,168.43,0.023
에멀젼C,비전기,V-CUT,195.0,195.0,0.024
에멀젼C,비전기,V-CUT,170.3,176.75,0.024
에멀젼C,비전기,V-CUT,155.62,167.86,0.024
에멀젼C,비전기,V-CUT,142.04,147.42,0.026000000000000002
에멀젼C,비전기,V-CUT,159.6,159.6,0.031
에멀젼C,비전기,V-CUT,160.5,160.5,0.044000000000000004
에멀젼C,비전기,V-CUT,211.87,195.91,0.03
에멀젼C,비전기,V-CUT,157.17,160.28,0.032
에멀젼C,비전기,V-CUT,44.17,47.26,0.11
에멀젼C,비전기,V-CUT,42.05,44.99,0.11
에멀젼C,비전기,V-CUT,58.89,56.13,0.129
에멀젼C,비전기,V-CUT,58.74,59.9,0.128
에멀젼C,비전기,V-CUT,46.59,51.74,0.10300000000000001
에멀젼C,비전기,V-CUT,51.99,60.57,0.111
에멀젼C,비전기,V-CUT,101.95,94.27,0.09
에멀젼C,비전기,V-CUT,92.84,88.49,0.09
에멀젼C,비전기,V-CUT,92.15,87.83,0.087
에멀젼C,비전기,V-CUT,87.12,88.84,0.073
에멀젼C,비전기,V-CUT,72.12,64.26,0.156
에멀젼C,비전기,V-CUT,73.68,65.64,0.285
에멀젼C,비전기,V-CUT,76.08,67.78,0.17800000000000002
에멀젼C,비전기,V-CUT,67.03,59.72,0.187
에멀젼C,비전기,V-CUT,65.76,58.59,0.151
에멀젼C,비전기,V-CUT,28.43,25.32,0.574
에멀젼C,비전기,V-CUT,28.43,25.32,0.456
에멀젼C,비전기,V-CUT,28.0,24.95,0.479
에멀젼C,비전기,V-CUT,28.0,24.95,0.42100000000000004
에멀젼C,비전기,V-CUT,25.6,22.8,0.41700000000000004
에멀젼C,비전기,V-CUT,40.02,35.66,0.353
에멀젼C,비전기,V-CUT,40.73,36.29,0.38
에멀젼C,비전기,V-CUT,43.42,38.68,0.332
에멀젼C,비전기,V-CUT,44.26,39.44,0.281
에멀젼C,비전기,V-CUT,35.36,31.5,0.273
에멀젼C,비전기,V-CUT,63.36,56.44,0.248
에멀젼C,비전기,V-CUT,64.63,57.58,0.331
에멀젼C,비전기,V-CUT,67.18,59.85,0.282
에멀젼C,비전기,V-CUT,58.12,51.78,0.209
에멀젼C,비전기,V-CUT,57.7,51.4,0.205
에멀젼C,비전기,V-CUT,90.93,81.01,0.085
에멀젼C,비전기,V-CUT,90.93,81.01,0.045
에멀젼C,비전기,V-CUT,93.34,83.15,0.073
에멀젼C,비전기,V-CUT,92.77,82.65,0.061
에멀젼C,비전기,V-CUT,90.37,80.51,0.048
에멀젼C,비전기,V-CUT,113.99,101.55,0.048
에멀젼C,비전기,V-CUT,113.99,101.55,0.062
에멀젼C,비전기,V-CUT,112.43,100.16,0.046
에멀젼C,비전기,V-CUT,120.49,107.35,0.038
에멀젼C,비전기,V-CUT,117.95,105.08,0.036000000000000004
에멀젼C,비전기,V-CUT,143.97,128.26,0.04
에멀젼C,비전기,V-CUT,144.11,128.39,0.037000000000000005
에멀젼C,비전기,V-CUT,141.56,126.12,0.034
에멀젼C,비전기,V-CUT,146.09,130.15,0.032
에멀젼C,비전기,V-CUT,145.52,129.65,0.031
에멀젼C,비전기,V-CUT,120.2,95.4,0.098
에멀젼C,비전기,V-CUT,98.47,83.62,0.077
에멀젼C,비전기,V-CUT,89.49,75.99,0.109
에멀젼C,비전기,V-CUT,101.08,85.84,0.077
에멀젼C,비전기,V-CUT,85.57,72.66,0.111
에멀젼C,비전기,V-CUT,173.6,137.79,0.033
에멀젼C,비전기,V-CUT,174.8,138.74,0.035
에멀젼C,비전기,V-CUT,132.76,112.74,0.045
에멀젼C,비전기,V-CUT,145.66,123.7,0.034
에멀젼C,비전기,V-CUT,146.97,124.81,0.034
에멀젼C,비전기,V-CUT,225.8,179.22,0.011000000000000001
에멀젼C,비전기,V-CUT,228.8,181.6,0.01
에멀젼C,비전기,V-CUT,186.16,158.09,0.009000000000000001
에멀젼C,비전기,V-CUT,233.2,185.09,0.009000000000000001
에멀젼C,비전기,V-CUT,182.24,154.76,0.013000000000000001
에멀젼C,비전기,V-CUT,168.2,133.5,0.027999999999999997
에멀젼C,비전기,V-CUT,170.4,135.25,0.028999999999999998
에멀젼C,비전기,V-CUT,133.25,113.16,0.028999999999999998
에멀젼C,비전기,V-CUT,167.8,133.18,0.026000000000000002
에멀젼C,비전기,V-CUT,137.17,116.48,0.026000000000000002
에멀젼C,비전기,V-CUT,216.4,171.76,0.008
에멀젼C,비전기,V-CUT,209.8,166.52,0.008
에멀젼C,비전기,V-CUT,173.42,147.27,0.013000000000000001
에멀젼C,비전기,V-CUT,179.79,152.68,0.008
에멀젼C,비전기,V-CUT,181.1,153.79,0.008
에멀젼C,비전기,V-CUT,38.0,30.16,0.685
에멀젼C,비전기,V-CUT,30.86,26.21,0.7490000000000001
에멀젼C,비전기,V-CUT,30.54,25.93,0.951
에멀젼C,비전기,V-CUT,35.44,30.09,0.677
에멀젼C,비전기,V-CUT,30.37,25.79,0.9329999999999999
에멀젼C,비전기,V-CUT,59.2,46.99,0.21899999999999997
에멀젼C,비전기,V-CUT,44.58,37.86,0.23600000000000002
에멀젼C,비전기,V-CUT,43.6,37.03,0.25
에멀젼C,비전기,V-CUT,54.87,46.59,0.203
에멀젼C,비전기,V-CUT,56.01,47.56,0.188
에멀젼C,비전기,V-CUT,88.2,70.0,0.091
에멀젼C,비전기,V-CUT,92.6,73.5,0.107
에멀젼C,비전기,V-CUT,71.53,60.74,0.126
에멀젼C,비전기,V-CUT,82.47,70.03,0.11800000000000001
에멀젼C,비전기,V-CUT,83.61,71.0,0.094
에멀젼C,비전기,V-CUT,32.2,33.42,0.245
에멀젼C,비전기,V-CUT,33.94,34.61,0.19699999999999998
에멀젼C,비전기,V-CUT,36.1,36.1,0.157
에멀젼C,비전기,V-CUT,36.0,36.0,0.102
에멀젼C,비전기,V-CUT,36.0,36.0,0.129
에멀젼C,비전기,V-CUT,29.39,31.45,0.252
에멀젼C,비전기,V-CUT,54.47,56.53,0.07200000000000001
에멀젼C,비전기,V-CUT,57.42,58.56,0.043
에멀젼C,비전기,V-CUT,70.44,67.14,0.037000000000000005
에멀젼C,비전기,V-CUT,60.9,60.9,0.057
에멀젼C,비전기,V-CUT,60.9,60.9,0.047
에멀젼C,비전기,V-CUT,49.72,53.2,0.08
에멀젼C,비전기,V-CUT,76.74,79.65,0.065
에멀젼C,비전기,V-CUT,99.07,94.44,0.028999999999999998
에멀젼C,비전기,V-CUT,99.07,94.44,0.027000000000000003
에멀젼C,비전기,V-CUT,99.19,94.55,0.022000000000000002
에멀젼C,비전기,V-CUT,85.8,85.8,0.03
에멀젼C,비전기,V-CUT,85.8,85.8,0.018000000000000002
에멀젼C,비전기,V-CUT,99.1,102.86,0.062
에멀젼C,비전기,V-CUT,99.1,102.86,0.036000000000000004
에멀젼C,비전기,V-CUT,110.8,110.8,0.033
에멀젼C,비전기,V-CUT,110.8,110.8,0.017
에멀젼C,비전기,V-CUT,110.8,110.8,0.023
에멀젼C,비전기,V-CUT,90.47,96.79,0.039
에멀젼C,비전기,V-CUT,121.37,125.97,0.048
에멀젼C,비전기,V-CUT,156.69,149.36,0.016
에멀젼C,비전기,V-CUT,156.69,149.36,0.02
에멀젼C,비전기,V-CUT,135.7,135.7,0.028999999999999998
에멀젼C,비전기,V-CUT,135.7,135.7,0.012
에멀젼C,비전기,V-CUT,110.8,118.54,0.03
에멀젼C,비전기,V-CUT,139.1,160.96,0.024
에멀젼C,비전기,V-CUT,128.19,152.19,0.043
에멀젼C,비전기,V-CUT,128.79,152.9,0.036000000000000004
에멀젼C,비전기,V-CUT,128.55,152.61,0.04
에멀젼C,비전기,V-CUT,128.49,152.54,0.03
에멀젼C,비전기,V-CUT,180.78,214.62,0.018000000000000002
에멀젼C,비전기,V-CUT,181.02,214.91,0.017
에멀젼C,비전기,V-CUT,181.85,215.9,0.011000000000000001
에멀젼C,비전기,V-CUT,180.3,214.05,0.019
에멀젼C,비전기,V-CUT,181.38,215.33,0.012
에멀젼C,비전기,V-CUT,37.35,44.34,0.526
에멀젼C,비전기,V-CUT,38.37,45.55,0.36200000000000004
에멀젼C,비전기,V-CUT,38.13,45.27,0.419
에멀젼C,비전기,V-CUT,37.83,44.91,0.48
에멀젼C,비전기,V-CUT,36.81,43.7,0.33
에멀젼C,비전기,V-CUT,50.08,59.46,0.369
에멀젼C,비전기,V-CUT,50.32,59.74,0.27899999999999997
에멀젼C,비전기,V-CUT,49.78,59.1,0.37799999999999995
에멀젼C,비전기,V-CUT,49.6,58.89,0.245
에멀젼C,비전기,V-CUT,49.0,58.18,0.266
에멀젼C,비전기,V-CUT,129.02,153.18,0.034
에멀젼C,비전기,V-CUT,130.04,154.39,0.032
에멀젼C,비전기,V-CUT,128.55,152.61,0.045
에멀젼C,비전기,V-CUT,132.07,156.8,0.02
에멀젼C,비전기,V-CUT,131.48,156.09,0.031
에멀젼C,비전기,V-CUT,148.53,171.86,0.02
에멀젼C,비전기,V-CUT,148.4,171.71,0.021
에멀젼C,비전기,V-CUT,139.42,165.52,0.03
에멀젼C,비전기,V-CUT,139.84,166.02,0.025
에멀젼C,비전기,V-CUT,138.95,164.96,0.034
에멀젼C,비전기,V-CUT,92.16,122.82,0.067
에멀젼C,비전기,V-CUT,91.87,122.42,0.042
에멀젼C,비전기,V-CUT,91.57,122.03,0.051
에멀젼C,비전기,V-CUT,91.28,121.63,0.055999999999999994
에멀젼C,비전기,V-CUT,92.88,123.77,0.046
에멀젼C,비전기,V-CUT,129.56,172.65,0.013000000000000001
에멀젼C,비전기,V-CUT,130.79,174.29,0.013999999999999999
에멀젼C,비전기,V-CUT,130.49,173.89,0.017
에멀젼C,비전기,V-CUT,130.15,173.44,0.017
에멀젼C,비전기,V-CUT,131.0,174.57,0.012
에멀젼C,비전기,V-CUT,37.82,50.4,0.28
에멀젼C,비전기,V-CUT,37.57,50.06,0.294
에멀젼C,비전기,V-CUT,37.23,49.61,0.341
에멀젼C,비전기,V-CUT,36.98,49.27,0.345
에멀젼C,비전기,V-CUT,36.85,49.1,0.268
에멀젼C,비전기,V-CUT,93.05,124.0,0.026000000000000002
에멀젼C,비전기,V-CUT,94.15,125.46,0.045
에멀젼C,비전기,V-CUT,93.52,124.62,0.043
에멀젼C,비전기,V-CUT,93.81,125.01,0.04
에멀젼C,비전기,V-CUT,93.43,124.51,0.038
에멀젼C,비전기,V-CUT,100.4,133.8,0.021
에멀젼C,비전기,V-CUT,99.69,132.84,0.032
에멀젼C,비전기,V-CUT,99.39,132.45,0.027000000000000003
에멀젼C,비전기,V-CUT,100.07,133.35,0.021
에멀젼C,비전기,V-CUT,100.32,133.69,0.013999999999999999
에멀젼C,비전기,V-CUT,107.97,143.88,0.023
에멀젼C,비전기,V-CUT,108.01,143.93,0.019
에멀젼C,비전기,V-CUT,107.84,143.71,0.017
에멀젼C,비전기,V-CUT,107.21,142.86,0.025
에멀젼C,비전기,V-CUT,107.55,143.32,0.022000000000000002
에멀젼C,비전기,V-CUT,407.01,362.61,0.003
에멀젼C,비전기,V-CUT,397.39,354.04,0.004
에멀젼C,비전기,V-CUT,412.38,367.39,0.005
에멀젼C,비전기,V-CUT,337.4,321.61,0.004
에멀젼C,비전기,V-CUT,323.09,307.96,0.006999999999999999
에멀젼C,비전기,V-CUT,415.61,363.82,0.006999999999999999
에멀젼C,비전기,V-CUT,471.22,419.81,0.004
에멀젼C,비전기,V-CUT,472.49,420.94,0.003
에멀젼C,비전기,V-CUT,376.43,358.81,0.004
에멀젼C,비전기,V-CUT,375.16,357.6,0.004
에멀젼C,비전기,V-CUT,409.33,383.38,0.004
에멀젼C,비전기,V-CUT,504.16,441.34,0.003
에멀젼C,비전기,V-CUT,59.7,56.9,0.105
에멀젼C,비전기,V-CUT,72.27,64.38,0.10099999999999999
에멀젼C,비전기,V-CUT,63.5,56.57,0.11699999999999999
에멀젼C,비전기,V-CUT,51.04,48.65,0.16399999999999998
에멀젼C,비전기,V-CUT,50.46,48.1,0.16
에멀젼C,비전기,V-CUT,54.77,51.3,0.14400000000000002
에멀젼C,비전기,V-CUT,111.58,99.41,0.025
에멀젼C,비전기,V-CUT,115.97,103.31,0.024
에멀젼C,비전기,V-CUT,112.43,100.16,0.031
에멀젼C,비전기,V-CUT,94.8,90.36,0.025
에멀젼C,비전기,V-CUT,85.68,81.67,0.031
에멀젼C,비전기,V-CUT,96.89,90.74,0.027999999999999997
에멀젼C,비전기,V-CUT,136.2,127.56,0.013000000000000001
에멀젼C,비전기,V-CUT,136.32,127.68,0.02
에멀젼C,비전기,V-CUT,138.51,129.73,0.012
에멀젼C,비전기,V-CUT,140.7,131.78,0.011000000000000001
에멀젼C,비전기,V-CUT,175.01,153.2,0.009000000000000001
에멀젼C,비전기,V-CUT,175.16,153.33,0.008
에멀젼C,비전기,V-CUT,198.91,215.11,0.024
에멀젼C,비전기,V-CUT,114.57,148.8,0.042
에멀젼C,비전기,V-CUT,114.38,148.56,0.047
에멀젼C,비전기,V-CUT,178.05,199.85,0.027000000000000003
에멀젼C,비전기,V-CUT,125.4,157.99,0.027999999999999997
에멀젼C,비전기,V-CUT,100.59,135.6,0.044000000000000004
에멀젼C,비전기,V-CUT,99.78,134.5,0.055
에멀젼C,비전기,V-CUT,100.96,136.09,0.042
에멀젼C,비전기,V-CUT,124.1,156.36,0.034
에멀젼C,비전기,V-CUT,122.75,154.66,0.045
에멀젼C,비전기,V-CUT,28.3,36.75,0.872
에멀젼C,비전기,V-CUT,28.44,36.93,0.768
에멀젼C,비전기,V-CUT,28.71,37.29,0.581
에멀젼C,비전기,V-CUT,25.64,34.56,0.604
에멀젼C,비전기,V-CUT,31.8,40.07,0.462
에멀젼C,비전기,V-CUT,81.74,88.41,0.124
에멀젼C,비전기,V-CUT,80.95,87.55,0.113
에멀젼C,비전기,V-CUT,47.1,61.18,0.20199999999999999
