암종,심발,SR SD,CR SD,최대입자속도
안산암,V-CUT,28.71,37.29,0.581
안산암,V-CUT,25.64,34.56,0.604
안산암,V-CUT,31.8,40.07,0.462
안산암,V-CUT,81.74,88.41,0.124
안산암,V-CUT,80.95,87.55,0.113
안산암,V-CUT,47.1,61.18,0.20199999999999999
안산암,V-CUT,42.05,56.68,0.23600000000000002
안산암,V-CUT,51.05,64.32,0.158
안산암,V-CUT,102.62,110.98,0.084
안산암,V-CUT,58.93,76.53,0.22
안산암,V-CUT,58.79,76.35,0.33
안산암,V-CUT,59.25,76.95,0.20800000000000002
안산암,V-CUT,59.25,76.95,0.134
안산암,V-CUT,73.12,94.97,0.162
안산암,V-CUT,72.39,94.02,0.162
안산암,V-CUT,65.24,87.94,0.11800000000000001
안산암,V-CUT,64.54,87.01,0.252
안산암,V-CUT,64.87,87.45,0.19699999999999998
안산암,V-CUT,76.3,102.86,0.141
안산암,V-CUT,76.63,103.3,0.133
안산암,V-CUT,75.89,102.3,0.142
안산암,V-CUT,94.65,119.25,0.102
안산암,V-CUT,76.91,103.68,0.121
안산암,V-CUT,171.16,185.1,0.038
안산암,V-CUT,99.18,128.82,0.11800000000000001
안산암,V-CUT,98.36,127.75,0.102
안산암,V-CUT,88.43,119.2,0.135
안산암,V-CUT,107.8,135.82,0.075
안산암,V-CUT,29.41,31.81,0.509
안산암,V-CUT,30.52,33.0,0.321
안산암,V-CUT,28.07,30.35,0.336
안산암,V-CUT,28.86,31.21,0.325
안산암,V-CUT,31.68,32.65,0.369
안산암,V-CUT,42.45,45.91,0.245
안산암,V-CUT,49.39,50.91,0.209
안산암,V-CUT,49.3,50.82,0.237
안산암,V-CUT,46.23,48.9,0.16699999999999998
안산암,V-CUT,53.0,53.0,0.17300000000000001
안산암,V-CUT,81.34,83.85,0.141
안산암,V-CUT,88.8,88.8,0.10400000000000001
안산암,V-CUT,79.69,82.15,0.094
안산암,V-CUT,79.05,81.49,0.1
안산암,V-CUT,88.1,88.1,0.08800000000000001
안산암,V-CUT,29.83,31.55,0.679
안산암,V-CUT,32.68,33.69,0.6659999999999999
안산암,V-CUT,30.03,30.96,0.815
안산암,V-CUT,30.67,31.62,0.6859999999999999
안산암,V-CUT,34.0,34.0,0.688
안산암,V-CUT,14.06,14.49,1.6369999999999998
안산암,V-CUT,13.52,14.3,1.524
안산암,V-CUT,15.4,15.4,1.768
안산암,V-CUT,17.0,17.0,1.5319999999999998
안산암,V-CUT,16.0,16.0,1.695
안산암,V-CUT,95.18,102.94,0.053
안산암,V-CUT,110.27,113.68,0.054000000000000006
안산암,V-CUT,109.18,112.55,0.06
안산암,V-CUT,118.2,118.2,0.077
안산암,V-CUT,118.8,118.8,0.062
안산암,V-CUT,206.18,222.98,0.013999999999999999
안산암,V-CUT,206.26,223.07,0.013999999999999999
안산암,V-CUT,206.81,223.66,0.008
안산암,V-CUT,206.73,223.58,0.009000000000000001
안산암,V-CUT,241.91,249.37,0.011000000000000001
안산암,V-CUT,231.95,250.85,0.018000000000000002
안산암,V-CUT,271.12,279.49,0.016
안산암,V-CUT,272.58,280.99,0.013000000000000001
안산암,V-CUT,249.66,264.06,0.018000000000000002
안산암,V-CUT,297.0,297.0,0.013000000000000001
안산암,V-CUT,40.62,41.88,0.29100000000000004
안산암,V-CUT,45.3,45.3,0.23
안산암,V-CUT,39.8,41.03,0.308
안산암,V-CUT,38.16,39.34,0.391
안산암,V-CUT,42.6,42.6,0.322
안산암,V-CUT,43.19,45.68,0.282
안산암,V-CUT,46.92,48.37,0.258
안산암,V-CUT,46.19,47.62,0.316
안산암,V-CUT,45.46,46.86,0.364
안산암,V-CUT,57.0,57.0,0.13
안산암,V-CUT,62.35,64.27,0.136
안산암,V-CUT,63.72,67.4,0.11599999999999999
안산암,V-CUT,64.8,64.8,0.191
안산암,V-CUT,67.5,67.5,0.139
안산암,V-CUT,65.6,65.6,0.183
안산암,V-CUT,71.07,76.86,0.135
안산암,V-CUT,80.52,83.0,0.09699999999999999
안산암,V-CUT,78.87,81.31,0.149
안산암,V-CUT,84.8,84.8,0.153
안산암,V-CUT,85.6,85.6,0.151
안산암,V-CUT,88.91,94.04,0.125
안산암,V-CUT,90.77,96.01,0.149
안산암,V-CUT,96.4,99.37,0.157
안산암,V-CUT,96.4,99.37,0.172
안산암,V-CUT,89.67,94.84,0.237
안산암,V-CUT,190.2,150.96,0.015
안산암,V-CUT,216.39,163.71,0.012
안산암,V-CUT,218.01,164.93,0.012
안산암,V-CUT,225.86,170.87,0.012
안산암,V-CUT,223.78,169.3,0.016
안산암,V-CUT,224.94,170.17,0.017
안산암,V-CUT,370.85,314.92,0.008
안산암,V-CUT,370.53,314.65,0.011000000000000001
안산암,V-CUT,369.55,313.82,0.012
안산암,V-CUT,368.57,312.98,0.012
안산암,V-CUT,367.59,312.15,0.013999999999999999
안산암,V-CUT,360.56,306.19,0.013999999999999999
안산암,V-CUT,93.73,79.6,0.12
안산암,V-CUT,92.75,78.77,0.161
안산암,V-CUT,126.56,95.74,0.087
안산암,V-CUT,127.02,96.09,0.095
안산암,V-CUT,125.86,95.22,0.081
안산암,V-CUT,91.61,77.8,0.086
안산암,V-CUT,76.91,65.31,0.139
안산암,V-CUT,79.04,67.12,0.111
안산암,V-CUT,76.91,65.31,0.131
안산암,V-CUT,99.4,78.89,0.084
안산암,V-CUT,102.77,77.75,0.09699999999999999
안산암,V-CUT,75.44,64.07,0.105
안산암,V-CUT,89.81,76.27,0.084
안산암,V-CUT,87.53,74.33,0.109
안산암,V-CUT,87.69,74.47,0.15
안산암,V-CUT,116.86,88.41,0.09
안산암,V-CUT,114.55,86.66,0.106
안산암,V-CUT,85.24,72.39,0.079
안산암,V-CUT,53.75,49.9,0.435
안산암,V-CUT,77.5,71.94,0.142
안산암,V-CUT,90.0,83.55,0.11599999999999999
안산암,V-CUT,150.0,139.25,0.057
안산암,V-CUT,227.5,211.19,0.023
안산암,V-CUT,375.0,348.12,0.011000000000000001
