뇌관,암석분류,암종,심발,SR SD,CR SD,최대입자속도
전자,화성암,안산암,Cylinder-cut,88.39,73.1,0.102
전자,화성암,안산암,Cylinder-cut,86.62,71.64,0.114
전자,화성암,안산암,Cylinder-cut,89.91,72.94,0.102
전자,화성암,안산암,Cylinder-cut,80.64,69.22,0.12
전자,화성암,안산암,Cylinder-cut,123.74,102.34,0.033
전자,화성암,안산암,Cylinder-cut,121.98,100.88,0.049
전자,화성암,안산암,Cylinder-cut,127.38,103.33,0.04
전자,화성암,안산암,Cylinder-cut,110.68,95.0,0.022000000000000002
전자,화성암,안산암,Cylinder-cut,159.1,131.58,0.027000000000000003
전자,화성암,안산암,Cylinder-cut,157.33,130.12,0.032
전자,화성암,안산암,Cylinder-cut,164.84,133.72,0.022000000000000002
전자,화성암,안산암,Cylinder-cut,143.88,123.51,0.024
전자,화성암,안산암,Cylinder-cut,185.62,153.51,0.024
전자,화성암,안산암,Cylinder-cut,183.85,152.05,0.032
전자,화성암,안산암,Cylinder-cut,192.94,156.51,0.028999999999999998
전자,화성암,안산암,Cylinder-cut,167.6,143.86,0.01
전자,화성암,안산암,Cylinder-cut,252.79,209.07,0.013999999999999999
전자,화성암,안산암,Cylinder-cut,251.02,207.61,0.016
전자,화성암,안산암,Cylinder-cut,264.12,214.26,0.013000000000000001
전자,화성암,안산암,Cylinder-cut,227.68,195.44,0.008
전자,화성암,안산암,Cylinder-cut,438.41,362.58,0.012
전자,화성암,안산암,Cylinder-cut,436.64,361.12,0.01
전자,화성암,안산암,Cylinder-cut,460.8,373.81,0.012
전자,화성암,안산암,Cylinder-cut,393.7,337.94,0.012
전자,화성암,안산암,Cylinder-cut,503.81,416.67,0.015
전자,화성암,안산암,Cylinder-cut,502.05,415.21,0.015
전자,화성암,안산암,Cylinder-cut,530.11,430.04,0.015
전자,화성암,안산암,Cylinder-cut,452.21,388.16,0.012
전자,화성암,안산암,Cylinder-cut,88.39,73.1,0.102
전자,화성암,안산암,Cylinder-cut,86.62,71.64,0.08900000000000001
전자,화성암,안산암,Cylinder-cut,89.91,72.94,0.102
전자,화성암,안산암,Cylinder-cut,80.64,69.22,0.127
전자,화성암,안산암,Cylinder-cut,123.74,102.34,0.051
전자,화성암,안산암,Cylinder-cut,121.98,100.88,0.051
전자,화성암,안산암,Cylinder-cut,127.38,103.33,0.038
전자,화성암,안산암,Cylinder-cut,112.26,96.36,0.013000000000000001
전자,화성암,안산암,Cylinder-cut,159.1,131.58,0.028999999999999998
전자,화성암,안산암,Cylinder-cut,157.33,130.12,0.043
전자,화성암,안산암,Cylinder-cut,164.84,133.72,0.025
전자,화성암,안산암,Cylinder-cut,143.88,123.51,0.006
전자,화성암,안산암,Cylinder-cut,185.62,153.51,0.038
전자,화성암,안산암,Cylinder-cut,183.85,152.05,0.037000000000000005
전자,화성암,안산암,Cylinder-cut,192.94,156.51,0.022000000000000002
전자,화성암,안산암,Cylinder-cut,167.6,143.86,0.021
전자,화성암,안산암,Cylinder-cut,251.02,207.61,0.03
전자,화성암,안산암,Cylinder-cut,249.26,206.14,0.028999999999999998
전자,화성암,안산암,Cylinder-cut,262.24,212.74,0.019
전자,화성암,안산암,Cylinder-cut,226.1,194.08,0.008
전자,화성암,안산암,Cylinder-cut,440.17,364.04,0.012
전자,화성암,안산암,Cylinder-cut,438.41,362.58,0.013999999999999999
전자,화성암,안산암,Cylinder-cut,462.67,375.33,0.012
전자,화성암,안산암,Cylinder-cut,395.28,339.3,0.015
전자,화성암,안산암,Cylinder-cut,503.81,416.67,0.015
전자,화성암,안산암,Cylinder-cut,502.05,415.21,0.015
전자,화성암,안산암,Cylinder-cut,530.11,430.04,0.015
전자,화성암,안산암,Cylinder-cut,452.21,388.16,0.012
전자,화성암,안산암,Cylinder-cut,38.89,32.16,0.184
전자,화성암,안산암,Cylinder-cut,74.25,61.4,0.08800000000000001
전자,화성암,안산암,Cylinder-cut,114.9,95.03,0.032
전자,화성암,안산암,Cylinder-cut,88.39,73.1,0.043
전자,화성암,안산암,Cylinder-cut,173.24,143.28,0.022000000000000002
전자,화성암,안산암,Cylinder-cut,167.94,138.89,0.027000000000000003
