암석분류,암종,심발,SR SD,CR SD,최대입자속도
화성암,화강반암,Cylinder-cut,67.5,49.73,0.17
화성암,화강반암,Cylinder-cut,65.0,47.89,0.125
화성암,화강반암,Cylinder-cut,55.22,42.4,0.244
화성암,화강반암,Cylinder-cut,70.0,51.58,0.078
화성암,화강반암,Cylinder-cut,80.0,58.94,0.113
화성암,화강반암,Cylinder-cut,77.5,57.1,0.09
화성암,화강반암,Cylinder-cut,66.26,50.88,0.1
화성암,화강반암,Cylinder-cut,82.5,60.79,0.076
화성암,화강반암,Cylinder-cut,92.5,68.15,0.046
화성암,화강반암,Cylinder-cut,90.0,66.31,0.027000000000000003
화성암,화강반암,Cylinder-cut,77.3,59.36,0.04
화성암,화강반암,Cylinder-cut,95.0,70.0,0.022000000000000002
화성암,화강반암,Cylinder-cut,115.0,84.73,0.040999999999999995
화성암,화강반암,Cylinder-cut,112.5,82.89,0.032
화성암,화강반암,Cylinder-cut,97.18,74.62,0.071
화성암,화강반암,Cylinder-cut,117.5,86.57,0.028999999999999998
화성암,화강반암,Cylinder-cut,137.5,101.31,0.027000000000000003
화성암,화강반암,Cylinder-cut,135.0,99.47,0.028999999999999998
화성암,화강반암,Cylinder-cut,117.06,89.89,0.048
화성암,화강반암,Cylinder-cut,140.0,103.15,0.024
화성암,화강반암,Cylinder-cut,212.5,156.57,0.019
화성암,화강반암,Cylinder-cut,210.0,154.73,0.022000000000000002
화성암,화강반암,Cylinder-cut,183.32,140.76,0.028999999999999998
화성암,화강반암,Cylinder-cut,215.0,158.41,0.024
