화약,뇌관,암석분류,SR SD,CR SD,최대입자속도
에멀젼C,전기,화성암,20.65,18.39,0.22
에멀젼C,전기,화성암,49.78,44.35,0.05
에멀젼C,전기,화성암,24.61,21.92,0.051
에멀젼C,전기,화성암,24.04,21.42,0.08900000000000001
에멀젼C,전기,화성암,28.28,25.2,0.052000000000000005
에멀젼C,전기,화성암,21.5,19.15,0.1
에멀젼C,전기,화성암,20.93,18.65,0.2
에멀젼C,전기,화성암,22.63,20.16,0.2
에멀젼C,전기,화성암,45.54,40.57,0.07
에멀젼C,전기,화성암,33.38,29.73,0.064
에멀젼C,전기,화성암,21.21,18.9,0.221
에멀젼C,전기,화성암,33.94,30.24,0.071
에멀젼C,전기,화성암,55.9,42.75,0.14
에멀젼C,전기,화성암,28.07,23.37,0.264
에멀젼C,전기,화성암,34.66,28.85,0.318
에멀젼C,전기,화성암,24.43,20.34,0.35
에멀젼C,전기,화성암,24.26,20.2,0.73
에멀젼C,전기,화성암,42.28,35.2,0.102
에멀젼C,전기,화성암,32.0,25.4,0.198
에멀젼C,전기,화성암,38.4,30.48,0.368
에멀젼C,전기,화성암,26.0,20.64,0.25
에멀젼C,전기,화성암,28.4,22.54,0.43
에멀젼C,전기,화성암,28.0,22.22,0.22399999999999998
에멀젼C,전기,화성암,40.0,31.75,0.35600000000000004
에멀젼C,전기,화성암,48.0,38.1,0.17
에멀젼C,전기,화성암,37.34,28.56,0.171
에멀젼C,전기,화성암,50.31,38.47,0.203
에멀젼C,전기,화성암,31.98,24.45,0.2
에멀젼C,전기,화성암,29.07,22.23,0.33
에멀젼C,전기,화성암,61.72,47.2,0.102
에멀젼C,전기,화성암,36.45,27.87,0.16
에멀젼C,전기,화성암,52.32,40.01,0.114
에멀젼C,전기,화성암,34.8,27.62,0.17600000000000002
에멀젼C,전기,화성암,47.2,37.46,0.152
에멀젼C,전기,화성암,31.4,24.92,0.15
에멀젼C,전기,화성암,31.4,24.92,0.35
에멀젼C,전기,화성암,50.0,46.42,0.15
에멀젼C,전기,화성암,62.5,58.02,0.07
에멀젼C,전기,화성암,68.75,63.82,0.02
에멀젼C,전기,화성암,75.0,69.62,0.07
에멀젼C,전기,화성암,62.5,58.02,0.05
에멀젼C,전기,화성암,68.75,63.82,0.05
에멀젼C,전기,화성암,75.0,69.62,0.1
에멀젼C,전기,화성암,125.0,116.04,0.013000000000000001
에멀젼C,전기,화성암,50.0,46.42,0.05
에멀젼C,전기,화성암,56.25,52.22,0.05
에멀젼C,전기,화성암,62.5,58.02,0.02
에멀젼C,전기,화성암,68.75,63.82,0.02
에멀젼C,전기,화성암,75.0,69.62,0.02
에멀젼C,전기,화성암,50.0,46.42,0.1
에멀젼C,전기,화성암,62.5,58.02,0.07
에멀젼C,전기,화성암,68.75,63.82,0.1
에멀젼C,전기,화성암,75.0,69.62,0.07
에멀젼C,전기,화성암,225.0,208.87,0.033
에멀젼C,전기,화성암,50.0,46.42,0.1
에멀젼C,전기,화성암,62.5,58.02,0.05
에멀젼C,전기,화성암,75.0,69.62,0.05
에멀젼C,전기,화성암,101.25,85.98,0.3
에멀젼C,전기,화성암,48.99,41.6,0.99
에멀젼C,전기,화성암,76.75,65.18,1.16
에멀젼C,전기,화성암,84.92,72.11,0.55
에멀젼C,전기,화성암,93.08,79.04,0.55
에멀젼C,전기,화성암,66.95,56.86,1.23
에멀젼C,전기,화성암,57.15,48.54,1.24
에멀젼C,전기,화성암,81.3,73.87,0.55
에멀젼C,전기,화성암,38.65,35.12,1.49
에멀젼C,전기,화성암,61.31,55.71,2.28
에멀젼C,전기,화성암,67.97,61.76,0.81
에멀젼C,전기,화성암,74.63,67.82,0.81
에멀젼C,전기,화성암,53.31,48.44,2.48
에멀젼C,전기,화성암,45.31,41.18,2.02
에멀젼C,전기,화성암,59.93,62.2,0.25
에멀젼C,전기,화성암,43.83,45.49,0.45
에멀젼C,전기,화성암,38.46,39.92,0.4
에멀젼C,전기,화성암,33.09,34.35,0.17
에멀젼C,전기,화성암,27.73,28.78,0.27
에멀젼C,전기,화성암,22.36,23.21,0.3
에멀젼C,전기,화성암,54.56,56.63,0.305
에멀젼C,전기,화성암,49.19,51.06,0.368
에멀젼C,전기,화성암,58.79,62.9,0.1
에멀젼C,전기,화성암,22.05,23.59,0.38
에멀젼C,전기,화성암,26.13,27.95,0.2
에멀젼C,전기,화성암,34.29,36.69,0.27
에멀젼C,전기,화성암,42.46,45.43,0.12
에멀젼C,전기,화성암,42.46,45.43,0.15
에멀젼C,전기,화성암,48.6,38.57,0.675
에멀젼C,전기,화성암,60.0,47.62,0.222
에멀젼C,전기,화성암,49.4,39.21,0.2
에멀젼C,전기,화성암,28.0,22.22,0.35
에멀젼C,전기,화성암,35.44,30.09,0.838
에멀젼C,전기,화성암,53.24,45.21,0.271
에멀젼C,전기,화성암,44.42,37.72,0.3
에멀젼C,전기,화성암,50.62,42.99,0.1
에멀젼C,전기,화성암,49.81,42.3,0.17
에멀젼C,전기,화성암,31.96,28.47,0.721
에멀젼C,전기,화성암,45.25,40.32,0.152
에멀젼C,전기,화성암,38.18,34.02,0.2
에멀젼C,전기,화성암,26.16,23.31,0.15
에멀젼C,전기,화성암,42.43,37.8,0.07
에멀젼C,전기,화성암,38.89,34.65,0.74
에멀젼C,전기,화성암,38.47,34.27,0.37799999999999995
에멀젼C,전기,화성암,32.53,28.98,0.2
에멀젼C,전기,화성암,21.78,19.4,0.3
에멀젼C,전기,화성암,35.64,31.75,0.12
에멀젼C,전기,화성암,21.21,18.9,0.35
