암석분류,암종,심발,SR SD,CR SD,최대입자속도
화성암,화강암,선대구경,245.11,208.15,0.013000000000000001
화성암,화강암,선대구경,245.11,208.15,0.009000000000000001
화성암,화강암,선대구경,245.11,208.15,0.012
화성암,화강암,선대구경,300.2,238.27,0.01
화성암,화강암,선대구경,277.77,235.88,0.011000000000000001
화성암,화강암,선대구경,277.77,235.88,0.01
화성암,화강암,선대구경,277.77,235.88,0.013000000000000001
화성암,화강암,선대구경,277.77,235.88,0.011000000000000001
화성암,화강암,선대구경,277.77,235.88,0.01
화성암,화강암,선대구경,100.0,73.68,0.025
화성암,화강암,선대구경,97.5,71.84,0.068
화성암,화강암,선대구경,95.0,70.0,0.068
화성암,화강암,선대구경,102.5,75.52,0.032
화성암,화강암,선대구경,125.0,92.1,0.019
화성암,화강암,선대구경,122.5,90.26,0.033
화성암,화강암,선대구경,120.0,88.42,0.028999999999999998
화성암,화강암,선대구경,127.5,93.94,0.025
화성암,화강암,선대구경,150.0,110.52,0.024
화성암,화강암,선대구경,147.5,108.68,0.033
화성암,화강암,선대구경,145.0,106.84,0.006
화성암,화강암,선대구경,152.5,112.36,0.006
화성암,화강암,선대구경,175.0,128.94,0.024
화성암,화강암,선대구경,172.5,127.1,0.028999999999999998
화성암,화강암,선대구경,170.0,125.26,0.01
화성암,화강암,선대구경,177.5,130.78,0.006
화성암,화강암,선대구경,200.0,147.36,0.019
화성암,화강암,선대구경,197.5,145.52,0.027000000000000003
화성암,화강암,선대구경,195.0,143.68,0.008
화성암,화강암,선대구경,202.5,149.2,0.006
화성암,화강암,선대구경,57.5,42.37,0.071
화성암,화강암,선대구경,55.0,40.52,0.114
화성암,화강암,선대구경,52.5,38.68,0.08900000000000001
화성암,화강암,선대구경,60.0,44.21,0.044000000000000004
화성암,화강암,선대구경,400.0,294.72,0.015
화성암,화강암,선대구경,397.5,292.88,0.015
화성암,화강암,선대구경,395.0,291.04,0.012
화성암,화강암,선대구경,402.5,296.56,0.012
화성암,화강암,선대구경,430.0,316.83,0.012
화성암,화강암,선대구경,427.5,314.98,0.022000000000000002
화성암,화강암,선대구경,425.0,313.14,0.027000000000000003
화성암,화강암,선대구경,432.5,318.67,0.015
화성암,화강암,선대구경,29.02,25.63,0.252
화성암,화강암,선대구경,21.94,20.91,0.37200000000000005
화성암,화강암,선대구경,21.91,20.52,0.175
화성암,화강암,선대구경,29.7,26.46,0.18899999999999997
화성암,화강암,선대구경,36.27,32.04,0.44
화성암,화강암,선대구경,27.71,26.42,0.613
화성암,화강암,선대구경,27.99,26.22,0.252
화성암,화강암,선대구경,36.77,32.76,0.377
화성암,화강암,선대구경,58.04,51.27,0.1
화성암,화강암,선대구경,45.03,42.93,0.134
화성암,화강암,선대구경,46.25,43.32,0.081
화성암,화강암,선대구경,57.98,51.66,0.07200000000000001
화성암,화강암,선대구경,71.1,62.8,0.09300000000000001
화성암,화강암,선대구경,55.43,52.83,0.08800000000000001
화성암,화강암,선대구경,57.21,53.58,0.035
화성암,화강암,선대구경,70.71,63.0,0.042
화성암,화강암,선대구경,74.0,65.36,0.08199999999999999
화성암,화강암,선대구경,57.74,55.03,0.067
화성암,화강암,선대구경,59.64,55.86,0.044000000000000004
화성암,화강암,선대구경,73.54,65.52,0.042
화성암,화강암,선대구경,72.55,64.08,0.09300000000000001
화성암,화강암,선대구경,56.58,53.93,0.11
화성암,화강암,선대구경,58.42,54.72,0.068
화성암,화강암,선대구경,72.12,64.26,0.07400000000000001
화성암,화강암,선대구경,87.06,76.9,0.084
화성암,화강암,선대구경,68.13,64.94,0.134
화성암,화강암,선대구경,70.6,66.12,0.07200000000000001
화성암,화강암,선대구경,86.27,76.86,0.07
화성암,화강암,선대구경,101.57,89.72,0.086
화성암,화강암,선대구경,79.67,75.94,0.09300000000000001
화성암,화강암,선대구경,82.77,77.52,0.053
화성암,화강암,선대구경,100.41,89.45,0.055999999999999994
화성암,화강암,선대구경,116.08,102.53,0.044000000000000004
화성암,화강암,선대구경,91.22,86.95,0.052000000000000005
화성암,화강암,선대구경,94.94,88.92,0.026000000000000002
화성암,화강암,선대구경,114.55,102.05,0.023
화성암,화강암,선대구경,145.1,128.16,0.055999999999999994
화성암,화강암,선대구경,114.32,108.96,0.08900000000000001
화성암,화강암,선대구경,119.28,111.72,0.032
화성암,화강암,선대구경,142.84,127.25,0.025
화성암,화강암,선대구경,271.33,239.67,0.015
화성암,화강암,선대구경,214.77,204.72,0.012
화성암,화강암,선대구경,225.17,210.9,0.006999999999999999
화성암,화강암,선대구경,265.87,236.87,0.006999999999999999
화성암,화강암,선대구경,44.72,34.2,0.153
화성암,화강암,선대구경,73.16,62.13,0.142
화성암,화강암,선대구경,67.61,57.41,0.21
화성암,화강암,선대구경,70.65,59.31,0.204
화성암,화강암,선대구경,75.93,64.48,0.14400000000000002
화성암,화강암,선대구경,98.47,83.62,0.076
화성암,화강암,선대구경,94.55,80.29,0.13699999999999998
화성암,화강암,선대구경,98.38,82.58,0.105
화성암,화강암,선대구경,100.43,85.28,0.08800000000000001
화성암,화강암,선대구경,135.87,115.38,0.017
화성암,화강암,선대구경,133.09,113.02,0.03
화성암,화강암,선대구경,138.1,115.93,0.023
화성암,화강암,선대구경,137.33,116.62,0.019
화성암,화강암,선대구경,197.76,167.93,0.021
화성암,화강암,선대구경,195.96,166.41,0.034
화성암,화강암,선대구경,203.01,170.42,0.027999999999999997
화성암,화강암,선대구경,198.9,168.9,0.021
화성암,화강암,선대구경,272.06,231.03,0.018000000000000002
화성암,화강암,선대구경,270.91,230.06,0.023
화성암,화강암,선대구경,280.42,235.41,0.022000000000000002
화성암,화강암,선대구경,272.87,231.72,0.012
화성암,화강암,선대구경,143.7,122.03,0.026000000000000002
화성암,화강암,선대구경,140.44,119.26,0.048
화성암,화강암,선대구경,145.87,122.46,0.031
화성암,화강암,선대구경,145.17,123.28,0.034
화성암,화강암,선대구경,198.41,168.49,0.027999999999999997
화성암,화강암,선대구경,195.96,166.41,0.044000000000000004
화성암,화강암,선대구경,203.18,170.56,0.031
화성암,화강암,선대구경,199.55,169.46,0.013000000000000001
화성암,화강암,선대구경,22.37,19.0,1.63
화성암,화강암,선대구경,17.96,16.0,1.02
화성암,화강암,선대구경,12.08,11.95,1.65
화성암,화강암,선대구경,20.79,18.52,0.991
화성암,화강암,선대구경,32.66,27.73,1.45
화성암,화강암,선대구경,26.87,23.94,1.17
화성암,화강암,선대구경,18.59,18.39,1.41
화성암,화강암,선대구경,29.7,26.46,1.27
화성암,화강암,선대구경,48.99,41.6,0.622
화성암,화강암,선대구경,41.01,36.54,0.508
화성암,화강암,선대구경,28.92,28.61,0.521
화성암,화강암,선대구경,43.84,39.06,0.444
화성암,화강암,선대구경,65.32,55.47,0.278
화성암,화강암,선대구경,55.15,49.14,0.29100000000000004
화성암,화강암,선대구경,39.25,38.83,0.281
화성암,화강암,선대구경,57.98,51.66,0.237
화성암,화강암,선대구경,81.65,69.34,0.113
화성암,화강암,선대구경,69.3,61.74,0.09699999999999999
화성암,화강암,선대구경,49.57,49.04,0.086
화성암,화강암,선대구경,72.12,64.26,0.079
화성암,화강암,선대구경,97.98,83.2,0.073
화성암,화강암,선대구경,83.44,74.34,0.065
화성암,화강암,선대구경,59.9,59.26,0.084
화성암,화강암,선대구경,86.27,76.86,0.052000000000000005
화성암,화강암,선대구경,114.31,97.07,0.076
화성암,화강암,선대구경,97.58,86.93,0.079
화성암,화강암,선대구경,70.23,69.48,0.062
화성암,화강암,선대구경,100.41,89.45,0.064
화성암,화강암,선대구경,130.64,110.94,0.049
화성암,화강암,선대구경,111.72,99.53,0.07200000000000001
화성암,화강암,선대구경,80.56,79.7,0.055999999999999994
화성암,화강암,선대구경,114.55,102.05,0.046
