뇌관,암종,심발,SR SD,CR SD,최대입자속도
전기,편마암,Cylinder-cut,34.47,35.92,0.31
전기,편마암,Cylinder-cut,27.0,27.0,0.27
전기,편마암,Cylinder-cut,32.0,32.0,0.1
전기,편마암,Cylinder-cut,31.0,31.0,0.07
전기,편마암,Cylinder-cut,32.0,32.0,0.1
전기,편마암,Cylinder-cut,30.0,30.0,0.12
전기,편마암,Cylinder-cut,32.0,32.0,0.067
전기,편마암,Cylinder-cut,34.0,34.0,0.1
전기,편마암,Cylinder-cut,27.0,27.0,0.1
