화약,뇌관,암석분류,심발,SR SD,CR SD,최대입자속도
에멀젼C,비전기,화성암,V-CUT,24.66,20.94,2.6439999999999997
에멀젼C,비전기,화성암,V-CUT,19.52,17.39,1.5630000000000002
에멀젼C,비전기,화성암,V-CUT,19.52,17.39,2.349
에멀젼C,비전기,화성암,V-CUT,18.38,16.38,2.238
에멀젼C,비전기,화성암,V-CUT,16.69,14.87,3.137
에멀젼C,비전기,화성암,V-CUT,179.4,142.39,0.054000000000000006
에멀젼C,비전기,화성암,V-CUT,122.75,109.36,0.069
에멀젼C,비전기,화성암,V-CUT,130.81,116.54,0.055999999999999994
에멀젼C,비전기,화성암,V-CUT,119.78,106.72,0.07200000000000001
에멀젼C,비전기,화성암,V-CUT,152.36,129.38,0.06
에멀젼C,비전기,화성암,V-CUT,210.4,166.99,0.03
에멀젼C,비전기,화성암,V-CUT,217.4,172.55,0.038
에멀젼C,비전기,화성암,V-CUT,145.95,130.02,0.049
에멀젼C,비전기,화성암,V-CUT,179.14,152.12,0.03
에멀젼C,비전기,화성암,V-CUT,165.1,140.2,0.033
에멀젼C,비전기,화성암,V-CUT,365.4,290.02,0.016
에멀젼C,비전기,화성암,V-CUT,375.6,298.11,0.013999999999999999
에멀젼C,비전기,화성암,V-CUT,256.54,228.55,0.015
에멀젼C,비전기,화성암,V-CUT,258.94,230.69,0.017
에멀젼C,비전기,화성암,V-CUT,258.24,230.06,0.013999999999999999
에멀젼C,비전기,화성암,V-CUT,82.6,65.56,0.13
에멀젼C,비전기,화성암,V-CUT,55.15,49.14,0.156
에멀젼C,비전기,화성암,V-CUT,64.35,57.33,0.124
에멀젼C,비전기,화성암,V-CUT,54.31,48.38,0.174
에멀젼C,비전기,화성암,V-CUT,60.81,54.18,0.11
에멀젼C,비전기,화성암,V-CUT,138.6,110.01,0.094
에멀젼C,비전기,화성암,V-CUT,93.2,83.03,0.09300000000000001
에멀젼C,비전기,화성암,V-CUT,96.31,85.8,0.099
에멀젼C,비전기,화성암,V-CUT,102.39,91.22,0.079
에멀젼C,비전기,화성암,V-CUT,123.29,104.7,0.086
에멀젼C,비전기,화성암,V-CUT,161.01,136.73,0.040999999999999995
에멀젼C,비전기,화성암,V-CUT,136.61,121.71,0.045
에멀젼C,비전기,화성암,V-CUT,140.57,125.24,0.047
에멀젼C,비전기,화성암,V-CUT,142.84,127.25,0.035
에멀젼C,비전기,화성암,V-CUT,144.67,128.89,0.036000000000000004
에멀젼C,비전기,화성암,V-CUT,32.2,33.42,0.245
에멀젼C,비전기,화성암,V-CUT,33.94,34.61,0.19699999999999998
에멀젼C,비전기,화성암,V-CUT,36.1,36.1,0.157
에멀젼C,비전기,화성암,V-CUT,36.0,36.0,0.102
에멀젼C,비전기,화성암,V-CUT,36.0,36.0,0.129
에멀젼C,비전기,화성암,V-CUT,29.39,31.45,0.252
에멀젼C,비전기,화성암,V-CUT,54.47,56.53,0.07200000000000001
에멀젼C,비전기,화성암,V-CUT,57.42,58.56,0.043
에멀젼C,비전기,화성암,V-CUT,70.44,67.14,0.037000000000000005
에멀젼C,비전기,화성암,V-CUT,60.9,60.9,0.057
에멀젼C,비전기,화성암,V-CUT,60.9,60.9,0.047
에멀젼C,비전기,화성암,V-CUT,49.72,53.2,0.08
에멀젼C,비전기,화성암,V-CUT,76.74,79.65,0.065
에멀젼C,비전기,화성암,V-CUT,99.07,94.44,0.028999999999999998
에멀젼C,비전기,화성암,V-CUT,99.07,94.44,0.027000000000000003
에멀젼C,비전기,화성암,V-CUT,99.19,94.55,0.022000000000000002
