뇌관,암종,심발,SR SD,CR SD,최대입자속도
전자,섬록암,Cylinder-cut,70.71,58.48,0.124
전자,섬록암,Cylinder-cut,68.94,57.02,0.141
전자,섬록암,Cylinder-cut,71.18,57.74,0.124
전자,섬록암,Cylinder-cut,64.83,55.65,0.18899999999999997
전자,섬록암,Cylinder-cut,106.07,87.72,0.027000000000000003
전자,섬록암,Cylinder-cut,104.3,86.26,0.044000000000000004
전자,섬록암,Cylinder-cut,108.64,88.13,0.033
전자,섬록암,Cylinder-cut,96.45,82.79,0.035
전자,섬록암,Cylinder-cut,141.42,116.96,0.021
전자,섬록암,Cylinder-cut,139.65,115.5,0.038
전자,섬록암,Cylinder-cut,146.11,118.53,0.028999999999999998
전자,섬록암,Cylinder-cut,128.07,109.93,0.024
전자,섬록암,Cylinder-cut,176.78,146.2,0.019
전자,섬록암,Cylinder-cut,175.01,144.74,0.027000000000000003
전자,섬록암,Cylinder-cut,183.57,148.92,0.021
전자,섬록암,Cylinder-cut,159.7,137.08,0.019
전자,섬록암,Cylinder-cut,215.67,178.37,0.006999999999999999
전자,섬록암,Cylinder-cut,213.9,176.9,0.019
전자,섬록암,Cylinder-cut,224.78,182.35,0.013999999999999999
전자,섬록암,Cylinder-cut,194.48,166.94,0.012
전자,섬록암,Cylinder-cut,263.4,217.84,0.009000000000000001
전자,섬록암,Cylinder-cut,261.63,216.38,0.023
전자,섬록암,Cylinder-cut,275.36,223.38,0.015
전자,섬록암,Cylinder-cut,237.17,203.58,0.017
전자,섬록암,Cylinder-cut,268.7,222.23,0.008
전자,섬록암,Cylinder-cut,266.93,220.76,0.013000000000000001
전자,섬록암,Cylinder-cut,280.98,227.93,0.01
전자,섬록암,Cylinder-cut,241.91,207.65,0.006999999999999999
전자,섬록암,Cylinder-cut,319.97,264.62,0.01
전자,섬록암,Cylinder-cut,318.2,263.16,0.017
전자,섬록암,Cylinder-cut,335.3,272.0,0.016
전자,섬록암,Cylinder-cut,287.77,247.01,0.008
전자,섬록암,Cylinder-cut,106.6,84.61,0.027000000000000003
전자,섬록암,Cylinder-cut,99.2,78.74,0.04
전자,섬록암,Cylinder-cut,104.6,83.02,0.022000000000000002
전자,섬록암,Cylinder-cut,103.2,81.91,0.032
전자,섬록암,Cylinder-cut,102.8,81.59,0.025
전자,섬록암,Cylinder-cut,129.0,102.39,0.022000000000000002
전자,섬록암,Cylinder-cut,146.6,116.36,0.018000000000000002
전자,섬록암,Cylinder-cut,122.7,83.59,0.10800000000000001
전자,섬록암,Cylinder-cut,145.46,99.1,0.156
전자,섬록암,Cylinder-cut,178.04,121.29,0.051
전자,섬록암,Cylinder-cut,79.0,62.27,0.17300000000000001
전자,섬록암,Cylinder-cut,95.73,75.47,0.157
전자,섬록암,Cylinder-cut,118.19,93.17,0.051
전자,섬록암,Cylinder-cut,79.0,62.27,0.135
전자,섬록암,Cylinder-cut,96.55,76.11,0.133
전자,섬록암,Cylinder-cut,119.82,94.46,0.051
전자,섬록암,Cylinder-cut,99.0,78.04,0.033
전자,섬록암,Cylinder-cut,79.0,62.27,0.141
전자,섬록암,Cylinder-cut,97.57,76.92,0.157
전자,섬록암,Cylinder-cut,121.45,95.74,0.064
전자,섬록암,Cylinder-cut,80.22,63.24,0.078
전자,섬록암,Cylinder-cut,77.57,61.15,0.127
전자,섬록암,Cylinder-cut,77.57,61.15,0.10800000000000001
전자,섬록암,Cylinder-cut,99.2,78.2,0.13699999999999998
전자,섬록암,Cylinder-cut,79.81,62.92,0.18100000000000002
전자,섬록암,Cylinder-cut,77.36,60.99,0.11599999999999999
전자,섬록암,Cylinder-cut,77.16,60.83,0.114
전자,섬록암,Cylinder-cut,100.02,78.85,0.245
전자,섬록암,Cylinder-cut,91.24,71.93,0.044000000000000004
전자,섬록암,Cylinder-cut,79.4,62.6,0.091
전자,섬록암,Cylinder-cut,77.57,61.15,0.14
전자,섬록암,Cylinder-cut,100.84,79.49,0.18899999999999997
전자,섬록암,Cylinder-cut,92.8,73.66,0.055999999999999994
전자,섬록암,Cylinder-cut,77.4,61.43,0.1
전자,섬록암,Cylinder-cut,75.8,60.16,0.122
전자,섬록암,Cylinder-cut,99.8,79.21,0.121
전자,섬록암,Cylinder-cut,75.4,59.85,0.16
전자,섬록암,Cylinder-cut,90.8,72.07,0.138
전자,섬록암,Cylinder-cut,106.0,84.13,0.13
전자,섬록암,Cylinder-cut,92.75,78.77,0.035
전자,섬록암,Cylinder-cut,80.67,68.5,0.038
전자,섬록암,Cylinder-cut,62.71,53.25,0.067
전자,섬록암,Cylinder-cut,85.24,72.39,0.028999999999999998
전자,섬록암,Cylinder-cut,90.47,76.82,0.035
전자,섬록암,Cylinder-cut,78.71,66.84,0.062
전자,섬록암,Cylinder-cut,62.54,53.11,0.052000000000000005
