뇌관,암종,심발,SR SD,CR SD,최대입자속도
전기,편마암,V-CUT,37.8,40.45,0.24100000000000002
전기,편마암,V-CUT,36.95,35.22,0.25
전기,편마암,V-CUT,45.03,42.93,0.25
전기,편마암,V-CUT,41.57,39.62,0.3
전기,편마암,V-CUT,42.72,40.72,0.43200000000000005
전기,편마암,V-CUT,36.95,35.22,0.457
전기,편마암,V-CUT,31.35,33.55,0.3
전기,편마암,V-CUT,37.4,40.01,0.25
전기,편마암,V-CUT,30.7,32.85,0.4
전기,편마암,V-CUT,33.72,36.08,0.537
전기,편마암,V-CUT,32.99,35.29,0.27
전기,편마암,V-CUT,36.74,39.31,0.27
전기,편마암,V-CUT,32.17,34.42,0.38
전기,편마암,V-CUT,48.99,52.41,0.22
전기,편마암,V-CUT,33.07,35.38,0.275
전기,편마암,V-CUT,18.72,21.81,0.34299999999999997
전기,편마암,V-CUT,19.23,22.4,0.55
전기,편마암,V-CUT,25.3,29.47,0.4
전기,편마암,V-CUT,19.8,23.06,0.07
전기,편마암,V-CUT,23.84,27.78,0.12
전기,편마암,V-CUT,18.02,21.0,0.4
전기,편마암,V-CUT,19.04,22.18,0.48
전기,편마암,V-CUT,19.04,22.18,0.3
전기,편마암,V-CUT,46.99,43.16,0.1
전기,편마암,V-CUT,49.57,45.53,0.2
전기,편마암,V-CUT,67.91,62.36,0.38
전기,편마암,V-CUT,79.9,69.95,0.05
전기,편마암,V-CUT,50.87,46.71,0.1
전기,편마암,V-CUT,27.63,25.37,0.3
전기,편마암,V-CUT,42.86,39.36,0.35
전기,편마암,V-CUT,28.32,24.79,0.14800000000000002
전기,편마암,V-CUT,27.13,23.75,0.556
전기,편마암,V-CUT,19.62,18.02,0.495
전기,편마암,V-CUT,28.91,28.97,0.268
전기,편마암,V-CUT,37.46,37.54,0.965
전기,편마암,V-CUT,26.03,26.09,0.4
전기,편마암,V-CUT,23.35,23.4,0.4
전기,편마암,V-CUT,33.28,33.36,0.22
전기,편마암,V-CUT,28.81,28.88,0.78
전기,편마암,V-CUT,31.99,32.06,0.25
전기,편마암,V-CUT,48.08,42.84,0.292
전기,편마암,V-CUT,52.33,46.62,0.25
전기,편마암,V-CUT,70.71,63.0,0.27
전기,편마암,V-CUT,63.64,56.7,0.05
전기,편마암,V-CUT,53.74,47.88,0.3
전기,편마암,V-CUT,37.0,37.0,0.22899999999999998
전기,편마암,V-CUT,47.92,45.68,0.254
전기,편마암,V-CUT,62.05,52.7,1.95
전기,편마암,V-CUT,78.0,61.91,0.3
전기,편마암,V-CUT,80.0,63.5,0.35
전기,편마암,V-CUT,82.0,65.08,0.25
전기,편마암,V-CUT,61.38,54.68,0.264
전기,편마암,V-CUT,42.72,40.72,0.111
전기,편마암,V-CUT,76.0,60.32,0.4
전기,편마암,V-CUT,43.88,41.82,1.67
전기,편마암,V-CUT,61.12,53.5,0.5
전기,편마암,V-CUT,64.34,54.64,0.4
전기,편마암,V-CUT,66.95,56.86,0.3
전기,편마암,V-CUT,59.93,50.89,0.6
전기,편마암,V-CUT,57.98,51.66,0.5
전기,편마암,V-CUT,67.83,59.38,0.25
전기,편마암,V-CUT,84.0,66.67,0.2
전기,편마암,V-CUT,80.0,63.5,0.17
전기,편마암,V-CUT,91.92,65.0,0.2
전기,편마암,V-CUT,86.83,61.4,0.1
전기,편마암,V-CUT,80.83,61.15,0.051
전기,편마암,V-CUT,63.05,47.7,0.311
전기,편마암,V-CUT,65.05,46.0,0.5
전기,편마암,V-CUT,91.64,64.8,0.2
전기,편마암,V-CUT,87.68,62.0,0.22
전기,편마암,V-CUT,68.03,50.48,0.15
전기,편마암,V-CUT,76.84,57.02,0.15
전기,편마암,V-CUT,92.25,68.46,0.5589999999999999
전기,편마암,V-CUT,64.11,47.58,0.44299999999999995
전기,편마암,V-CUT,56.53,41.95,0.079
전기,편마암,V-CUT,55.64,41.92,0.3
전기,편마암,V-CUT,45.58,37.94,0.4
전기,편마암,V-CUT,44.54,37.08,0.2
전기,편마암,V-CUT,60.65,50.5,0.3
전기,편마암,V-CUT,43.92,37.58,0.17
전기,편마암,V-CUT,51.27,43.86,0.2
전기,편마암,V-CUT,48.0,39.96,0.14400000000000002
전기,편마암,V-CUT,67.79,51.08,0.546
전기,편마암,V-CUT,67.32,47.6,0.28300000000000003
