암석분류,심발,SR SD,CR SD,최대입자속도
화성암,라인 드릴링,16.44,15.2,1.16
화성암,라인 드릴링,19.6,16.64,1.54
화성암,라인 드릴링,19.3,16.0,0.978
화성암,라인 드릴링,19.8,17.64,1.6
화성암,라인 드릴링,34.15,31.58,0.094
화성암,라인 드릴링,42.46,36.05,0.14300000000000002
화성암,라인 드릴링,43.85,36.36,0.11
화성암,라인 드릴링,39.6,35.28,0.152
화성암,라인 드릴링,50.6,46.78,0.221
화성암,라인 드릴링,63.69,54.08,0.391
화성암,라인 드릴링,66.66,55.27,0.2
화성암,라인 드릴링,57.98,51.66,0.20800000000000002
화성암,라인 드릴링,63.25,58.48,0.251
화성암,라인 드릴링,80.02,67.95,0.314
화성암,라인 드릴링,84.2,69.81,0.24600000000000002
화성암,라인 드릴링,72.12,64.26,0.341
화성암,라인 드릴링,75.89,70.18,0.14800000000000002
화성암,라인 드릴링,96.35,81.82,0.183
화성암,라인 드릴링,101.74,84.36,0.187
화성암,라인 드릴링,86.27,76.86,0.16399999999999998
화성암,라인 드릴링,88.54,81.87,0.825
화성암,라인 드릴링,112.68,95.68,0.10800000000000001
화성암,라인 드릴링,119.28,98.9,0.102
화성암,라인 드릴링,100.41,89.45,0.129
화성암,라인 드릴링,101.19,93.57,0.10800000000000001
화성암,라인 드릴링,129.01,109.55,0.098
화성암,라인 드릴링,136.82,113.45,0.083
화성암,라인 드릴링,114.55,102.05,0.11900000000000001
화성암,라인 드릴링,120.17,111.11,0.023
화성암,라인 드릴링,153.5,130.35,0.012
화성암,라인 드릴링,163.13,135.27,0.011000000000000001
화성암,라인 드릴링,135.76,120.95,0.021
