화약,뇌관,SR SD,CR SD,최대입자속도
에멀젼C,전기,38.34,36.54,0.07
에멀젼C,전기,25.4,24.21,0.165
에멀젼C,전기,18.48,17.61,0.483
에멀젼C,전기,28.0,22.22,0.2
에멀젼C,전기,25.2,20.0,0.4
에멀젼C,전기,29.6,23.49,0.2
에멀젼C,전기,44.8,35.56,0.1
에멀젼C,전기,68.0,53.97,0.05
에멀젼C,전기,41.4,32.86,0.114
에멀젼C,전기,33.6,26.67,0.17800000000000002
에멀젼C,전기,28.4,22.54,0.1
에멀젼C,전기,25.2,20.0,0.15
에멀젼C,전기,29.6,23.49,0.22
에멀젼C,전기,46.0,36.51,0.27
에멀젼C,전기,68.4,54.29,0.07
에멀젼C,전기,42.0,33.34,0.14
에멀젼C,전기,33.0,26.19,0.273
에멀젼C,전기,35.11,26.85,0.1
에멀젼C,전기,25.71,19.66,0.2
에멀젼C,전기,27.5,21.03,0.12
에멀젼C,전기,50.54,38.65,0.17
에멀젼C,전기,77.59,59.34,0.05
에멀젼C,전기,38.01,29.07,0.095
에멀젼C,전기,31.75,24.28,0.25
에멀젼C,전기,33.99,25.99,0.25
에멀젼C,전기,47.85,36.59,0.15
에멀젼C,전기,46.51,35.57,0.45
에멀젼C,전기,72.0,55.06,0.07
에멀젼C,전기,60.82,46.51,0.064
에멀젼C,전기,34.88,26.68,0.21600000000000003
에멀젼C,전기,51.43,39.33,0.09699999999999999
에멀젼C,전기,19.8,17.64,0.1
에멀젼C,전기,16.55,14.74,0.3
에멀젼C,전기,20.65,18.39,0.22
에멀젼C,전기,49.78,44.35,0.05
에멀젼C,전기,24.61,21.92,0.051
에멀젼C,전기,24.04,21.42,0.08900000000000001
에멀젼C,전기,28.28,25.2,0.052000000000000005
에멀젼C,전기,21.5,19.15,0.1
에멀젼C,전기,20.93,18.65,0.2
에멀젼C,전기,22.63,20.16,0.2
에멀젼C,전기,45.54,40.57,0.07
에멀젼C,전기,33.38,29.73,0.064
에멀젼C,전기,21.21,18.9,0.221
에멀젼C,전기,33.94,30.24,0.071
에멀젼C,전기,55.9,42.75,0.14
에멀젼C,전기,28.07,23.37,0.264
에멀젼C,전기,34.66,28.85,0.318
에멀젼C,전기,24.43,20.34,0.35
에멀젼C,전기,24.26,20.2,0.73
에멀젼C,전기,42.28,35.2,0.102
에멀젼C,전기,32.0,25.4,0.198
에멀젼C,전기,38.4,30.48,0.368
에멀젼C,전기,26.0,20.64,0.25
에멀젼C,전기,28.4,22.54,0.43
에멀젼C,전기,28.0,22.22,0.22399999999999998
에멀젼C,전기,40.0,31.75,0.35600000000000004
에멀젼C,전기,48.0,38.1,0.17
에멀젼C,전기,37.34,28.56,0.171
에멀젼C,전기,50.31,38.47,0.203
에멀젼C,전기,31.98,24.45,0.2
에멀젼C,전기,29.07,22.23,0.33
에멀젼C,전기,61.72,47.2,0.102
에멀젼C,전기,36.45,27.87,0.16
에멀젼C,전기,52.32,40.01,0.114
에멀젼C,전기,34.8,27.62,0.17600000000000002
에멀젼C,전기,47.2,37.46,0.152
에멀젼C,전기,31.4,24.92,0.15
에멀젼C,전기,31.4,24.92,0.35
에멀젼C,전기,36.95,35.22,0.25
에멀젼C,전기,45.03,42.93,0.25
에멀젼C,전기,41.57,39.62,0.3
에멀젼C,전기,42.72,40.72,0.43200000000000005
에멀젼C,전기,36.95,35.22,0.457
에멀젼C,전기,31.35,33.55,0.3
에멀젼C,전기,37.4,40.01,0.25
에멀젼C,전기,30.7,32.85,0.4
에멀젼C,전기,33.72,36.08,0.537
에멀젼C,전기,32.99,35.29,0.27
에멀젼C,전기,36.74,39.31,0.27
에멀젼C,전기,32.17,34.42,0.38
에멀젼C,전기,48.99,52.41,0.22
에멀젼C,전기,33.07,35.38,0.275
에멀젼C,전기,50.0,46.42,0.15
에멀젼C,전기,62.5,58.02,0.07
에멀젼C,전기,68.75,63.82,0.02
에멀젼C,전기,75.0,69.62,0.07
에멀젼C,전기,62.5,58.02,0.05
에멀젼C,전기,68.75,63.82,0.05
에멀젼C,전기,75.0,69.62,0.1
에멀젼C,전기,125.0,116.04,0.013000000000000001
에멀젼C,전기,50.0,46.42,0.05
에멀젼C,전기,56.25,52.22,0.05
에멀젼C,전기,62.5,58.02,0.02
에멀젼C,전기,68.75,63.82,0.02
에멀젼C,전기,75.0,69.62,0.02
에멀젼C,전기,50.0,46.42,0.1
에멀젼C,전기,62.5,58.02,0.07
에멀젼C,전기,68.75,63.82,0.1
에멀젼C,전기,75.0,69.62,0.07
에멀젼C,전기,225.0,208.87,0.033
에멀젼C,전기,50.0,46.42,0.1
에멀젼C,전기,62.5,58.02,0.05
에멀젼C,전기,75.0,69.62,0.05
에멀젼C,전기,46.99,43.16,0.1
에멀젼C,전기,49.57,45.53,0.2
에멀젼C,전기,67.91,62.36,0.38
에멀젼C,전기,79.9,69.95,0.05
에멀젼C,전기,50.87,46.71,0.1
에멀젼C,전기,27.63,25.37,0.3
에멀젼C,전기,42.86,39.36,0.35
에멀젼C,전기,28.32,24.79,0.14800000000000002
에멀젼C,전기,27.13,23.75,0.556
에멀젼C,전기,19.62,18.02,0.495
에멀젼C,전기,28.91,28.97,0.268
에멀젼C,전기,37.46,37.54,0.965
에멀젼C,전기,26.03,26.09,0.4
에멀젼C,전기,23.35,23.4,0.4
에멀젼C,전기,33.28,33.36,0.22
에멀젼C,전기,28.81,28.88,0.78
에멀젼C,전기,31.99,32.06,0.25
에멀젼C,전기,101.25,85.98,0.3
에멀젼C,전기,48.99,41.6,0.99
에멀젼C,전기,76.75,65.18,1.16
에멀젼C,전기,84.92,72.11,0.55
에멀젼C,전기,93.08,79.04,0.55
에멀젼C,전기,66.95,56.86,1.23
에멀젼C,전기,57.15,48.54,1.24
에멀젼C,전기,81.3,73.87,0.55
에멀젼C,전기,38.65,35.12,1.49
에멀젼C,전기,61.31,55.71,2.28
에멀젼C,전기,67.97,61.76,0.81
에멀젼C,전기,74.63,67.82,0.81
에멀젼C,전기,53.31,48.44,2.48
에멀젼C,전기,45.31,41.18,2.02
에멀젼C,전기,59.93,62.2,0.25
에멀젼C,전기,43.83,45.49,0.45
에멀젼C,전기,38.46,39.92,0.4
에멀젼C,전기,33.09,34.35,0.17
에멀젼C,전기,27.73,28.78,0.27
에멀젼C,전기,22.36,23.21,0.3
에멀젼C,전기,54.56,56.63,0.305
에멀젼C,전기,49.19,51.06,0.368
에멀젼C,전기,58.79,62.9,0.1
에멀젼C,전기,22.05,23.59,0.38
에멀젼C,전기,26.13,27.95,0.2
에멀젼C,전기,34.29,36.69,0.27
에멀젼C,전기,42.46,45.43,0.12
에멀젼C,전기,42.46,45.43,0.15
에멀젼C,전기,48.08,42.84,0.292
에멀젼C,전기,52.33,46.62,0.25
에멀젼C,전기,70.71,63.0,0.27
에멀젼C,전기,63.64,56.7,0.05
에멀젼C,전기,53.74,47.88,0.3
에멀젼C,전기,48.6,38.57,0.675
에멀젼C,전기,60.0,47.62,0.222
에멀젼C,전기,49.4,39.21,0.2
에멀젼C,전기,28.0,22.22,0.35
에멀젼C,전기,35.44,30.09,0.838
에멀젼C,전기,53.24,45.21,0.271
에멀젼C,전기,44.42,37.72,0.3
에멀젼C,전기,50.62,42.99,0.1
에멀젼C,전기,49.81,42.3,0.17
에멀젼C,전기,31.96,28.47,0.721
에멀젼C,전기,45.25,40.32,0.152
에멀젼C,전기,38.18,34.02,0.2
에멀젼C,전기,26.16,23.31,0.15
에멀젼C,전기,42.43,37.8,0.07
에멀젼C,전기,38.89,34.65,0.74
에멀젼C,전기,38.47,34.27,0.37799999999999995
에멀젼C,전기,32.53,28.98,0.2
에멀젼C,전기,21.78,19.4,0.3
에멀젼C,전기,35.64,31.75,0.12
에멀젼C,전기,21.21,18.9,0.35
